,São Paulo,Minas Gerais,Paraná,Rio Grande do Sul,Rio de Janeiro,Bahia,Pernambuco,Santa Catarina,Ceará,Goiás,Pará,Maranhão,Espírito Santo,Rio Grande do Norte,Paraíba,Distrito Federal,Mato Grosso do Sul,Piauí,Alagoas,Mato Grosso,Amazonas,Sergipe,Tocantins,Rondônia,Acre,Roraima,Amapá
2015/Abr,264.97707359000003,142.58164131,89.98120623999999,86.94222917,62.415640659999994,63.11781699,61.041726149999995,51.985407869999996,44.15923224,35.090536840000006,29.75085464,27.54778824,21.302634649999998,17.463935460000002,16.46141563,15.98940075,15.15709125,14.763842859999999,14.870168300000001,14.76813725,13.15916882,8.5214639,7.08956937,7.36502291,3.13947252,1.96724927,1.87984954
2015/Mai,276.96231295,146.10451761000002,94.20151778,91.88853634,71.09465814,66.62846392,65.44233541,54.968168799999994,43.10462826,35.862048460000004,31.054967780000002,27.85120022,22.841140149999998,18.4419063,16.91406206,15.24815843,15.502849679999999,14.66678568,15.27321463,15.456624269999999,12.962255410000001,8.86222282,6.79743868,7.64573488,3.09643052,2.00223947,1.8838853
2015/Jun,271.9344606,142.89553096,94.11069323999999,90.00769088,69.53058915000001,64.20349681,60.373049710000004,54.72472296,44.51865907,34.54180203,29.235281559999997,25.35564536,22.570531170000002,17.78444468,15.818047960000001,15.1699334,15.93436442,14.438436119999999,14.99696734,14.04384409,13.423538070000001,7.65325031,7.054458820000001,7.54561991,3.33448241,2.20046533,2.02712941
2015/Jul,275.66249833,137.93992552,97.51682203,92.60361728,73.63258504000001,68.29775799,62.1494846,57.327402219999996,45.13234962,35.970784880000004,29.50144059,27.14508093,25.126290219999998,19.203746350000003,17.08132783,14.58493345,16.52726393,14.45775247,15.291175699999998,15.301276960000001,13.25384431,8.60622214,6.57682003,7.43860496,2.95321226,2.23054402,2.0115121
2015/Ago,279.42652863,140.77692148,99.11833219,90.47394446,68.64434707,68.36773262999999,60.775328619999996,55.39204022,46.76331518,35.70815451,28.93180495,27.05706267,23.28486041,18.47514093,17.065636079999997,15.25371089,15.862246769999999,14.918042400000001,14.579558630000001,14.906771529999999,13.45742249,8.80425842,6.77702662,7.23361824,3.16207503,2.2854675299999996,2.0112129199999997
2015/Set,265.44621319,137.73378602,95.94089473000001,87.34776793,66.59633821,66.48705916,57.258128240000005,55.51666908,44.13291,36.139653200000005,29.47681094,26.095608,22.39718109,18.225975899999998,16.7315917,15.83181605,15.30211892,14.93536443,14.20690405,14.14622575,12.622284089999999,8.92578757,6.3543348,7.42598115,3.10985627,2.21519154,2.09980971
2015/Out,265.60621169999996,140.16222198,98.26348546999999,87.83400112999999,67.99601445,66.31388535,59.95561088,55.68522809,45.89492372,35.272066200000005,29.458486920000002,26.47982313,23.69742039,18.26281706,16.50843364,14.37056276,15.40213294,14.77801273,14.85614785,14.840947439999999,13.08804045,8.627422050000002,6.40961656,7.6543155800000005,3.1770876400000003,2.00587076,1.85274603
2015/Nov,254.55668611000002,134.37352499000002,98.7919845,86.43958598,63.49819653,67.21035143,56.50370805,55.06465549,43.00023127,33.69140047,28.477062760000003,24.29501899,22.83410187,16.917374239999997,15.909632890000001,14.39632833,14.07263915,14.27865398,14.29704754,14.82604663,11.49562809,8.37417144,5.79383487,7.4290062400000005,3.09786879,1.93720801,1.7857547
2015/Dez,243.99913358,129.6322703,88.99607581999999,80.72170752,60.00803369,59.46219064,54.4469449,48.13868273,41.558755829999996,32.44356954,27.48949715,23.48160393,22.484167739999997,16.6215344,14.39425406,14.06926882,14.39317171,13.980063869999999,13.72668597,14.02710289,11.59667158,6.775642700000001,5.471576160000001,7.58076875,3.05999259,2.0000281,1.58290481
2016/Jan,260.38224188,131.12346642,93.32414908,85.43516582,66.13241007,65.50921478000001,57.710301030000004,53.20322528,43.54726494,33.02075654,28.500205129999998,25.3052644,23.55531586,17.06439741,15.121711529999999,15.55648741,15.40329701,14.65266055,13.651455210000002,14.52240972,11.543911289999999,7.55737033,5.98465732,7.0251756,3.1681909100000003,2.30694641,1.64332769
